Id,Label,timeset,pageranks
faq/casemap_charprop.html,,,0.000418
7,,,0.000356
standard/where/,,,0.000584
unsupported.html,,,0.000853
iso15924/,,,0.000586
iso15924/develop.html,,,0.000346
iso15924/iso15924jac.html,,,0.000346
pending/pending.html,,,0.000486
search,,,0.003152
consortium/newcomer.html,,,0.000447
emoji/,,,0.000434
glossary/,,,0.000534
pending/docsubmit.html,,,0.000418
consortium/utc.html,,,0.000799
faq/reports_process.html,,,0.000415
publications/,,,0.000427
reports/tr15/,,,0.000451
reports/tr24/,,,0.00046
charts/index.html,,,0.000419
standard/standard.html,,,0.000712
alloc/Pipeline.html,,,0.000567
standard/unsupported.html,,,0.000407
sitemap/,,,0.003961
contacts.html,,,0.001222
standard/WhatIsUnicode.html,,,0.000505
cldr/process.html,,,0.000449
development,,,0.000353
development/cldr-big-red-switch,,,0.000353
development/development-process,,,0.000353
development/development-process/design-proposals,,,0.000353
development/editing-cldr-spec,,,0.000353
development/guidance-on-direct-modifications-to-cldr-data,,,0.000353
development/messages,,,0.000353
development/new-cldr-developers,,,0.000353
development/updating-codes,,,0.000353
development/updating-dtds,,,0.000353
errata/,,,0.000566
errata/UnicodeErrata.html,,,0.000364
glossary/index.html,,,0.000365
uli/,,,0.000437
home/announcement,,,0.000358
home/announcement/february2017uli-tcmeeting,,,0.000358
home/announcement/newmailinglistuli-users,,,0.000358
home/announcement/publiclyavailablespecifications,,,0.000358
home/announcement/ulisegmentexceptionspostedinsvnanddemoupdated,,,0.000358
home/announcement/wordcounteffortbegun,,,0.000358
home/uli-charter,,,0.000358
home/uli-documents,,,0.000358
home/uli-process,,,0.000358
implementers-faq,,,0.000353
index,,,0.000353
index/bcp47-extension,,,0.000353
index/bug-reports,,,0.000353
index/charts,,,0.000353
index/cldr-spec,,,0.000353
index/downloads,,,0.000353
index/process/cldr-data-retention-policy,,,0.000353
index/survey-tool,,,0.000353
pending/proposals.html,,,0.000683
system/app/pages/recentChanges,,,0.000366
system/app/pages/sitemap/hierarchy,,,0.000366
timesens/calendar.html,,,0.000451
translation,,,0.000353
4a,,,0.000356
6a,,,0.000356
charts/,,,0.000589
About.html,,,0.000349
About.html#PDF,,,0.000349
notes/,,,0.000522
about-notes.html,,,0.000354
reports/index.html,,,0.000484
about-reports.html,,,0.000352
about-reports.html#Development,,,0.000352
about-reports.html#Types,,,0.000352
about-reports.html#Versioning,,,0.000352
about-reports.html#Withdrawn,,,0.000352
acknowledgements/,,,0.000556
acknowledgements/bulldog.html,,,0.000457
acknowledgements/grants.html,,,0.000428
consortium/consort.html,,,0.000832
consortium/edcom.html,,,0.000414
consortium/memoriam.html,,,0.000449
versions/latest/,,,0.000742
unicode.org,,,0.004373
conference/about-conf.html,,,0.000526
consortium/donations.html,,,0.00042
acknowledgements/members-staff.html,,,0.000404
acknowledgements/sei.html,,,0.000404
acknowledgements/standard.html,,,0.000404
acknowledgements/standardorg.html,,,0.000404
timesens/logistics-mongolian.html,,,0.000362
adobe-sjmap.pdf,,,0.000429
timesens/logistics-utc155.html,,,0.000366
consortium/adopt-a-character.html,,,0.000409
adopted-characters.html,,,0.000364
udhr/,,,0.000417
aggregates.html,,,0.000365
alloc/about.html,,,0.000385
faq/char_proposal.html,,,0.000374
alloc/ISOStages.html,,,0.000373
alloc/nonapprovals.html,,,0.000407
faq/prop_new_characters.html,,,0.000374
L2/index.html,,,0.000375
roadmaps,,,0.000485
standard/supported.html,,,0.00046
announcements/,,,0.000471
announcements/articles.html,,,0.000558
announcements/books.html,,,0.000499
history/,,,0.000459
history/index.html,,,0.000874
announcements/ann-feb16-2010.html,,,0.00035
announcements/ann-jan05-2010.html,,,0.00035
announcements/ann-Jun02-2010.html,,,0.00035
announcements/quotations.html,,,0.000452
casestudy/,,,0.000438
education/,,,0.00043
education/consortwork.html,,,0.000431
education/ngos.html,,,0.000423
education/students.html,,,0.000417
press/,,,0.000409
standard/tutorial-info.html,,,0.0005
announcements/AsciiBarrier.pdf,,,0.000353
announcements/boilerplate.html,,,0.000401
announcements/change.html,,,0.00035
announcements/DerSpiegel35.pdf,,,0.000353
announcements/InternationalSupport.pdf,,,0.000353
announcements/kissascii.pdf,,,0.000353
announcements/pr-3.0.html,,,0.000355
versions/enumeratedversions.html,,,0.000571
announcements/pr-3.2.html,,,0.000355
announcements/pr-4.0.html,,,0.000355
announcements/pr-4.0Book.html,,,0.000355
announcements/pr-4.1.html,,,0.000351
announcements/pr-4.1-french.html,,,0.00035
announcements/pr-401.html,,,0.000355
announcements/pr-5.0.html,,,0.000355
announcements/pr-5.0preorders.html,,,0.00035
announcements/pr-5.1.html,,,0.000355
announcements/pr-6.0.html,,,0.00035
announcements/pr-6.0-core.html,,,0.00035
announcements/pr-cldr.html,,,0.00035
announcements/pr-cldr1.1.html,,,0.00035
announcements/pr-cldr1.2.html,,,0.00035
announcements/pr-cldr1.3.html,,,0.00035
announcements/pr-cldr1.4.html,,,0.00035
announcements/pr-cldr1.4s.html,,,0.00035
announcements/pr-cldr1.5.html,,,0.00035
announcements/pr-cldr1.5s.html,,,0.00035
announcements/pr-cldr1.6.html,,,0.00035
announcements/pr-cldr1.7.html,,,0.00035
announcements/pr-cldr1.71.html,,,0.00035
announcements/pr-cldr1.72.html,,,0.00035
announcements/pr-cldr1.8.html,,,0.00035
announcements/pr-cldr1.8-fr.html,,,0.00035
announcements/pr-cldr19.html,,,0.00035
announcements/pr-cldr2.html,,,0.00035
announcements/pr-iuc19.html,,,0.00035
announcements/pr-iuc20.html,,,0.00035
announcements/pr-iuc21.html,,,0.00035
announcements/pr-iuc22.html,,,0.00035
announcements/pr-iuc24.html,,,0.00035
announcements/pr-iuc25.html,,,0.00035
